PERSON_ID,DISPLAY_FIRST_LAST,POSITION,FROM_YEAR,TO_YEAR,HEIGHT,WEIGHT
76001,Alaa Abdelnaby,Forward,1990,1994,6-10,240
76002,Zaid Abdul-Aziz,Center,1968,1977,6-9,235
76003,Kareem Abdul-Jabbar,Center,1969,1988,7-2,225
51,Mahmoud Abdul-Rauf,Guard,1990,2000,6-1,162
1505,Tariq Abdul-Wahad,Forward-Guard,1997,2003,6-6,235
949,Shareef Abdur-Rahim,Forward,1996,2007,6-9,245
76005,Tom Abernethy,Forward,1976,1980,6-7,220
76006,Forest Able,Guard,1956,1956,6-3,180
76007,John Abramovic,Forward,1946,1947,6-3,195
203518,Alex Abrines,Guard,2016,2018,6-6,200
1630173,Precious Achiuwa,Forward,2020,2022,6-8,225
101165,Alex Acker,Guard,2005,2008,6-5,185
76008,Donald Ackerman,Guard,1953,1953,6-0,183
76009,Mark Acres,Center,1987,1992,6-11,220
76010,Charles Acton,Forward,1967,1967,6-6,210
203112,Quincy Acy,Forward,2012,2018,6-7,240
76011,Alvan Adams,Center,1975,1987,6-9,210
76012,Don Adams,Forward,1970,1976,6-7,210
200801,Hassan Adams,Forward,2006,2008,6-4,220
1629121,Jaylen Adams,Guard,2018,2020,6-0,225
203919,Jordan Adams,Guard,2014,2015,6-5,209
149,Michael Adams,Guard,1985,1995,5-10,165
203500,Steven Adams,Center,2013,2022,6-11,265
912,Rafael Addison,Forward,1986,1996,6-8,241
1628389,Bam Adebayo,Center-Forward,2017,2022,6-9,255
1629061,Deng Adel,Forward,2018,2018,6-7,200
76015,Rick Adelman,Guard,1968,1974,6-2,175
202399,Jeff Adrien,,2010,2014,,
201167,Arron Afflalo,Guard,2007,2017,6-5,210
1630534,Ochai Agbaji,Guard,2022,2022,6-5,215
200772,Maurice Ager,Forward-Guard,2006,2010,6-5,202
76016,Mark Aguirre,Forward,1981,1993,6-6,232
201336,Blake Ahearn,Guard,2007,2011,6-2,190
76017,Danny Ainge,Guard,1981,1994,6-5,175
201582,Alexis Ajinca,Center,2008,2017,7-2,248
76018,Henry Akin,Center,1966,1967,6-10,225
203006,Josh Akognon,Guard,2012,2012,5-11,185
