PERSON_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,OREB,DREB,REB,AST,STL,BLK,TOV,PF
76001,620,1236,0.502,0,3,0.0,225,321,0.701,1465,283,563,846,85,71,69,247,484
76002,1769,4138,0.428,,,,1019,1400,0.728,4557,503,1124,4065,601,131,205,11,1120
76003,15837,28307,0.559,1,18,0.056,6712,9304,0.721,38387,2975,9394,17440,5660,1160,3189,2527,4657
51,3514,7943,0.442,474,1339,0.354,1051,1161,0.905,8553,219,868,1087,2079,487,46,963,1106
1505,720,1726,0.417,18,76,0.237,372,529,0.703,1830,286,490,776,266,184,83,309,485
949,5434,11515,0.472,154,519,0.297,4006,4943,0.81,15028,1869,4370,6239,2109,820,638,2136,2324
76005,724,1472,0.492,0,2,0.0,331,443,0.747,1779,374,637,1011,384,185,60,129,525
76006,0,2,0.0,,,,0,0,0.0,0,,,1,1,,,,1
76007,203,855,0.237,,,,127,185,0.686,533,,,0,37,,,,171
203518,305,789,0.387,219,595,0.368,95,108,0.88,924,49,199,248,88,92,22,72,291
1630173,585,1235,0.474,85,265,0.321,221,365,0.605,1476,319,690,1009,161,88,99,186,344
101165,34,92,0.37,8,25,0.32,5,10,0.5,81,9,20,29,16,6,4,11,13
76008,14,63,0.222,,,,15,28,0.536,43,,,15,23,,,,43
76009,514,1016,0.506,7,13,0.538,308,463,0.665,1343,581,944,1525,180,137,104,235,932
76010,29,74,0.392,,,,19,29,0.655,77,,,47,11,,,,35
203112,583,1314,0.444,183,523,0.35,293,386,0.759,1642,309,870,1179,217,140,135,219,665
76011,5709,11464,0.498,2,15,0.133,2490,3160,0.788,13910,2015,4922,6937,4012,1289,808,2194,3214
76012,1682,4186,0.402,,,,872,1180,0.739,4236,364,844,2732,869,283,55,,1591
200801,79,148,0.534,0,1,0.0,27,42,0.643,185,36,48,84,14,18,5,26,51
1629121,39,118,0.331,25,76,0.329,7,9,0.778,110,11,52,63,67,14,5,28,46
203919,37,92,0.402,10,26,0.385,17,28,0.607,101,9,21,30,19,19,7,16,26
149,3257,7849,0.415,949,2857,0.332,2158,2543,0.849,9621,416,1484,1900,4209,1081,67,1402,1193
203500,2713,4619,0.587,1,15,0.067,1091,2036,0.536,6518,2599,3189,5788,1079,624,675,1029,1748
912,920,2047,0.449,69,245,0.282,277,359,0.772,2186,262,518,780,339,148,83,284,671
1628389,2358,4259,0.554,8,62,0.129,1422,1883,0.755,6146,922,2616,3538,1429,428,370,895,1047
1629061,11,36,0.306,6,23,0.261,4,4,1.0,32,3,16,19,5,1,4,6,13
76015,1381,3330,0.415,,,,817,1146,0.713,3579,41,123,1129,1606,106,9,,990
202399,264,557,0.474,0,2,0.0,181,288,0.628,709,221,438,659,100,50,79,91,259
201167,2983,6633,0.45,852,2205,0.386,1380,1673,0.825,8198,334,1842,2176,1386,341,141,852,1481
1630534,165,386,0.427,81,228,0.355,56,69,0.812,467,43,78,121,67,16,15,41,99
200772,64,189,0.339,11,44,0.25,30,53,0.566,169,8,38,46,19,6,6,29,65
76016,7201,14865,0.484,392,1258,0.312,3664,4944,0.741,18458,1704,2874,4578,2871,687,296,2306,2599
201336,21,77,0.273,14,47,0.298,32,33,0.97,88,1,21,22,22,7,0,22,27
76017,4643,9905,0.469,1002,2651,0.378,1676,1980,0.846,11964,695,2073,2768,4199,1133,132,1566,2549
201582,645,1283,0.503,12,42,0.286,251,315,0.797,1553,346,804,1150,143,102,181,249,661
76018,129,367,0.351,,,,46,68,0.676,304,,,177,39,,,,130
203006,2,4,0.5,1,2,0.5,0,0,0.0,5,0,1,1,1,0,0,0,3
1629152,3,10,0.3,0,4,0.0,1,2,0.5,7,1,3,4,6,2,0,2,4
202374,16,51,0.314,0,0,0.0,7,10,0.7,39,22,39,61,5,4,11,8,16
76019,1037,2184,0.475,34,135,0.252,324,418,0.775,2432,438,682,1120,363,132,109,309,712
76020,103,352,0.293,,,,55,92,0.598,261,,,329,24,,,,170
1630583,300,657,0.457,100,314,0.318,128,176,0.727,828,118,340,458,118,51,58,76,179
203128,40,78,0.513,0,5,0.0,13,27,0.481,93,78,98,176,28,17,16,17,96
202332,435,825,0.527,0,0,0.0,180,244,0.738,1050,334,797,1131,183,137,233,199,509
200746,8311,16872,0.493,227,710,0.32,3709,4563,0.813,20558,2776,5960,8736,2076,758,1187,1643,2598
76021,161,337,0.478,0,1,0.0,55,75,0.733,377,87,183,270,36,15,15,72,171
1626146,5,10,0.5,0,0,0.0,0,0,0.0,10,2,4,6,0,1,2,1,1
724,587,1508,0.389,237,669,0.354,266,352,0.756,1677,78,403,481,834,263,37,467,514
2042,655,1552,0.422,41,121,0.339,339,417,0.813,1690,124,285,409,227,111,18,203,377
76022,8,14,0.571,0,0,0.0,3,9,0.333,19,7,8,15,2,3,0,8,10
201570,103,251,0.41,16,47,0.34,60,86,0.698,282,46,74,120,44,16,30,52,116
1629734,1,2,0.5,0,0,0.0,0,0,0.0,2,2,1,3,0,0,0,1,1
1630234,3,12,0.25,2,9,0.222,1,2,0.5,9,2,8,10,6,0,1,3,2
2349,1101,2126,0.518,18,63,0.286,322,508,0.634,2542,446,938,1384,257,135,177,378,713
